2023-10-29 20:39:02,637 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698583142
2023-10-29 20:39:03,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583143, Kline_1s timestep: 1698583143
2023-10-29 20:39:04,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583144, Kline_1s timestep: 1698583144
2023-10-29 20:39:05,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583145, Kline_1s timestep: 1698583145
2023-10-29 20:39:06,637 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583146, Kline_1s timestep: 1698583146
2023-10-29 20:39:07,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583147, Kline_1s timestep: 1698583147
2023-10-29 20:39:08,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583148, Kline_1s timestep: 1698583148
2023-10-29 20:39:09,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583149, Kline_1s timestep: 1698583149
2023-10-29 20:39:10,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583150, Kline_1s timestep: 1698583150
2023-10-29 20:39:11,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583151, Kline_1s timestep: 1698583151
2023-10-29 20:39:12,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583152, Kline_1s timestep: 1698583152
2023-10-29 20:39:13,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583153, Kline_1s timestep: 1698583153
2023-10-29 20:39:14,596 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583154, Kline_1s timestep: 1698583154
2023-10-29 20:39:16,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583156, Kline_1s timestep: 1698583156
